Building,BARA?,Floor,Description,Geocoding,Address
North Campus Storm Shelter - Student Activity Center,,B,On the lowest level of the Student Activity Center. This will be open when a tornado watch or warning is issued for campus.,"33.220788, -87.544486","1301 Jack Warner Pkwy NE Tuscaloosa, AL 35404"
General Engineering Classroom Building,,,(UNDER CONSTRUCTION) FEMA 361 storm shelter seating over 2000. This will be open when a tornado watch or warning is issued for campus.,"33.215345, -87.540426","200 Hackberry Ln, Tuscaloosa, AL 35401, USA"
Brookwood Storm Shelters,,,"Two shelters behind Brookwood Town Hall, next to the baseball fields. Both of these shelters will be open to the public in the event of a tornado warning. Further information can be obtained by contacting the town of Brookwood.","33.254717, -87.331311","15658 Alabama 216 Brookwood, AL 35444"
Coaling Storm Shelters - Fire Department,,,Shelter next to the Coaling Fire Department This shelter will be open to the public in the event of a tornado warning. Further information can be found on the town website.,"33.171931, -87.346962","15150 Highway 11 N., Coaling, AL 35453"
Coaling Storm Shelters - Recreation Complex,,,Shelter adjacent to the ball field. This shelter will be open to the public in the event of a tornado warning. Further information can be found on the town website.,"33.156579, -87.339515","11203 Hagler Coaling Rd Coaling, AL 35453"
Coaling Storm Shelters - Stone Gate Mobile Home Park Shelter,,,Lower Coaling Road at Stone Gate Mobile Home Park in the back of the park. This shelter will be open to the public in the event of a tornado warning. Further information can be found on the town website.,"33.164450, -87.352765","15100 Stone Gate Drive, Coaling, AL 35453"
Coker Storm Shelter,,,Coker tornado shelter behind the Water Authority and next to the Town Hall. This shelter will be open to the public under any tornado watches or warnings. Further information can be obtained by contacting the town of Coker.,"33.245816, -87.687106","11549 Eisenhower Dr., Coker, AL 35452"
Echola Storm Shelter,,,Echola Volunteer Fire Department right on County Rd 21. Signage showing the location of the shelter is easily visible from the road.,"33.344359, -87.790241","14884 Co Rd 15 Echola, AL 35457
"
Alberta School of Performing Arts Safe Room,,,This shelter will only be open to the public if certain severe weather conditions happen during non-school hours.,"33.209564, -87.502417","2700 University Blvd E Tuscaloosa, AL 35404"
Tuscaloosa Career and Technology Academy Safe Room,,,This shelter will only be open to the public if certain severe weather conditions happen during non-school hours. Enter in the front center.,"33.187091, -87.577420","2800 Martin Luther King Jr. Blvd., Tuscaloosa, Al 35401"
Tuscaloosa Magnet School Safe Room,,,This shelter will only be open to the public if certain severe weather conditions happen during non-school hours.,"33.215056, -87.524372","315 McFarland Blvd E Tuscaloosa, AL 35404
"
Vance Storm Shelters - Shelter behind High Quality Fuel Gas Station,,,Shelter behind the High Quality Fuel Gas Station. This shelter will be open to the public in the event of severe weather. Further information can be found by contacting the town of Vance.,"33.175403, -87.234363","18336 U.S. 11 Vance, AL 35490"
Vance Storm Shelters - Wallace Tingle Park Shelter,,,On Vance Municipal Dr. off of Tingle Tangle Rd. Across the road from Wallace Tingle Park. This shelter will be open to the public in the event of severe weather. Further information can be found by contacting the town of Vance.,"33.160424, -87.257131","17058 Tingle Tangle Rd Vance, AL 35490"
East Campus Storm Shelter,,,Located behind the Child Development Research Center. This will be open when a tornado watch or warning is issued for campus.,"33.209175, -87.527789","600 Johnny Stallings Dr Tuscaloosa, AL 35404
"
Delta Sigma Phi,Yes,1,Restrooms in main house excluding restrooms in stairwell,"33.21206, -87.539273","Delta Sigma Phi, 415 Jefferson Avenue, Tuscaloosa, AL 35401, USA"
Gamma Phi Beta,Yes,2,"Lounge, bathrooms","33.20667, -87.548494","Gamma Phi Beta, Tuscaloosa, AL 35401, USA"
Beta Theta Pi,Yes,1,Closets and restrooms between bedrooms,"33.21089, -87.550589","Beta Theta Pi, Tuscaloosa, AL 35401, USA"
Beta Theta Pi,Yes,2,Closets and restrooms between bedrooms,"33.21089, -87.550589","Beta Theta Pi, Tuscaloosa, AL 35401, USA"
Chi Phi,Yes,B,"Recreation room, hallway, restrooms","33.209793, -87.540223","Chi Phi, Tuscaloosa, AL 35401, USA"
Alpha Kappa Alpha,Yes,1,"Common restrooms, back hallway between fire doors",,
Alpha Kappa Alpha,Yes,2,"Hallways, restrooms between rooms",,
Delta Kappa Epsilon,Yes,1,"Chapter Room, men's and women's restrooms","33.21075, -87.550129","Delta Kappa Epsilon, Tuscaloosa, AL 35401, USA"
Alpha Kappa Lambda,Yes,1,Common restrooms including meeting room restroom,"33.209914, -87.539402","Alpha Kappa Lambda, Tuscaloosa, AL 35401, USA"
Delta Tau Delta,Yes,B,"Event Room, Pool Table Room and adjacent hall to stairs.","33.211656, -87.539329","Delta Tau Delta, Tuscaloosa, AL 35401, USA"
Delta Zeta,Yes,B,"Chapter room, office, laundry, computer room, hallway running from stairwell to the Chapter room.","33.207396, -87.548303","Delta Zeta, Tuscaloosa, AL 35401, USA"
Kappa Alpha,Yes,1,"Hallway between President's room and Kitchen (between fire doors), common restroom near Lounge with pool table","33.209043, -87.539004","Kappa Alpha, Tuscaloosa, AL 35401, USA"
Kappa Alpha,Yes,2,"Hallway between rooms 3 and 9, hallway between rooms 12 and 17","33.209043, -87.539004","Kappa Alpha, Tuscaloosa, AL 35401, USA"
Kappa Alpha Theta,Yes,B,Chapter Room including North Stairwell and small hallway by the mechanical room.,"33.208327, -87.548942","Kappa Alpha Theta, 750 Colonial Drive, Tuscaloosa, AL 35401, USA"
Kappa Delta,Yes,B,"Chapter room, work room, laundry Room, hall outside of west stairwell.","33.207879, -87.54778","Kappa Delta, Tuscaloosa, AL 35401, USA"
Kappa Kappa Gamma,Yes,B,"Laundry, projects room","33.207330, -87.548681",
Kappa Kappa Gamma,Yes,1,Common restroom,"33.207330, -87.548681",
Kappa Kappa Gamma,Yes,2,"Hallway, bathroom, shower room, prepping room","33.207330, -87.548681",
Kappa Sigma,Yes,B,Party Room,"33.210291, -87.539434","Kappa Sigma, Tuscaloosa, AL 35401, USA"
Kappa Sigma,Yes,2,Hallways except between lounge and bedroom hallways,"33.210291, -87.539434","Kappa Sigma, Tuscaloosa, AL 35401, USA"
Lambda Chi Alpha,Yes,2,"Bedroom hallways, lounge","33.209561, -87.539378","Lambda Chi Alpha, 601 Jefferson Avenue, Tuscaloosa, AL 35401, USA"
Phi Gamma Delta,Yes,B,"Storage, back stairwell","33.211047, -87.551042","Phi Gamma Delta, Tuscaloosa, AL 35401, USA"
Phi Gamma Delta,Yes,1,Back stairwell,"33.211047, -87.551042","Phi Gamma Delta, Tuscaloosa, AL 35401, USA"
Phi Gamma Delta,Yes,2,"Back stairwell, bathroom, bedroom hallways","33.211047, -87.551042","Phi Gamma Delta, Tuscaloosa, AL 35401, USA"
Phi Kappa Psi,Yes,B,"Laundry, restrooms, hallway between rear lounge and stairwell, hallway between bathrooms and laundry","33.209722, -87.550922","Phi Kappa Psi, Tuscaloosa, AL 35401, USA"
Phi Mu,Yes,B,Mechanical room,"33.206992, -87.548787",
