Building,Floor,Best Available Refuge Area,Geocoding,FormattedAddress
700 University Blvd East,1,West hallway between 0150-0177; Bathrooms in center hallway; East hallway between 0194-0205; hallway between 0280-0245,"33.207845, -87.52714","Capstone Medical Center, 700 University Boulevard East, Tuscaloosa, AL 35404, USA"
Delta Gamma,B,Chapter Room,"33.207924, -87.54517","Delta Gamma, 8th Street, Tuscaloosa, AL 35401, USA"
Alpha Delta Pi,B,"Chapter Room, restrooms, hallway running East to West, hallways running North to South on each end of the long East to West hall","33.209841, -87.569173","Tuscaloosa, AL, USA"
Alpha Gamma Delta,B,"Both stairwells, Chapter room","33.208068, -87.546149","Alpha Gamma Delta, Tuscaloosa, AL 35401, USA"
Delta Delta Delta,B,"Chapter room, restrooms, and hallways","33.207692, -87.548186","Delta Delta Delta, Tuscaloosa, AL 35401, USA"
Phi Delta Theta,1,Restrooms,"33.208456, -87.536448","Phi Delta Theta, 4th Street, Tuscaloosa, AL 35401, USA"
Phi Delta Theta,2,"Closets, restrooms inside apartments (excluding room 2049)","33.208456, -87.536448","Phi Delta Theta, 4th Street, Tuscaloosa, AL 35401, USA"
Sigma Chi (new),1,"Common restroom near front of building, men's restroom in party room, east stairwell and adjacent hallway between fire doors","33.209841, -87.569173","Tuscaloosa, AL, USA"
Sigma Chi (new),2,"Stairwells on East and West ends (not center stairs), hallway running east to west between rooms 205 and 209 (closing fire doors), hallway running east to west and north to south (closing fire doors) between rooms 234 Ð 239","33.209841, -87.569173","Tuscaloosa, AL, USA"
Old Alpha Delta Pi,2,"Restrooms, hallways except for south hallway near rooms 200 and 206","33.209841, -87.569173","Tuscaloosa, AL, USA"
Old Alpha Gamma Delta,B,"Chapter room, TV room/den, chapter storage room, Basement to 1st floor stairwells (both)","33.209841, -87.569173","Tuscaloosa, AL, USA"
Alpha Omicron Pi,2,"Hallways, bathrooms, lounge/study room 211","33.208779, -87.548986","Alpha Omicron Pi, Tuscaloosa, AL 35401, USA"
Delta Sigma Phi,B,Hallways,"33.21206, -87.539273","Delta Sigma Phi, 415 Jefferson Avenue, Tuscaloosa, AL 35401, USA"
Delta Sigma Phi,1,Restrooms in main house excluding restrooms in stairwell,"33.21206, -87.539273","Delta Sigma Phi, 415 Jefferson Avenue, Tuscaloosa, AL 35401, USA"
Gamma Phi Beta,2,"Lounge, bathrooms","33.20667, -87.548494","Gamma Phi Beta, Tuscaloosa, AL 35401, USA"
Beta Theta Pi,1,Closets and restrooms between bedrooms,"33.21089, -87.550589","Beta Theta Pi, Tuscaloosa, AL 35401, USA"
Beta Theta Pi,2,Closets and restrooms between bedrooms,"33.21089, -87.550589","Beta Theta Pi, Tuscaloosa, AL 35401, USA"
Chi Phi,B,"Recreation room, hallway, restrooms","33.209793, -87.540223","Chi Phi, Tuscaloosa, AL 35401, USA"
Alpha Kappa Alpha,1,"Common restrooms, back hallway between fire doors","33.209841, -87.569173","Tuscaloosa, AL, USA"
Alpha Kappa Alpha,2,"Hallways, restrooms between rooms","33.209841, -87.569173","Tuscaloosa, AL, USA"
Delta Kappa Epsilon,1,"Chapter Room, men's and women's restrooms","33.21075, -87.550129","Delta Kappa Epsilon, Tuscaloosa, AL 35401, USA"
Alpha Kappa Lambda,1,Common restrooms including meeting room restroom,"33.209914, -87.539402","Alpha Kappa Lambda, Tuscaloosa, AL 35401, USA"
Delta Tau Delta,B,"Event Room, Pool Table Room and adjacent hall to stairs.","33.211656, -87.539329","Delta Tau Delta, Tuscaloosa, AL 35401, USA"
Delta Zeta,B,"Chapter room, office, laundry, computer room, hallway running from stairwell to the Chapter room.","33.207396, -87.548303","Delta Zeta, Tuscaloosa, AL 35401, USA"
Kappa Alpha,1,"Hallway between President's room and Kitchen (between fire doors), common restroom near Lounge with pool table","33.209043, -87.539004","Kappa Alpha, Tuscaloosa, AL 35401, USA"
Kappa Alpha,2,"Hallway between rooms 3 and 9, hallway between rooms 12 and 17","33.209043, -87.539004","Kappa Alpha, Tuscaloosa, AL 35401, USA"
Kappa Alpha Theta,B,Chapter Room including North Stairwell and small hallway by the mechanical room.,"33.208327, -87.548942","Kappa Alpha Theta, 750 Colonial Drive, Tuscaloosa, AL 35401, USA"
Kappa Delta,B,"Chapter room, work room, laundry Room, hall outside of west stairwell.","33.207879, -87.54778","Kappa Delta, Tuscaloosa, AL 35401, USA"
Kappa Kappa Gamma,B,"Laundry, projects room","33.209841, -87.569173","Tuscaloosa, AL, USA"
Kappa Kappa Gamma,1,Common restroom,"33.209841, -87.569173","Tuscaloosa, AL, USA"
Kappa Kappa Gamma,2,"Hallway, bathroom, shower room, prepping room","33.209841, -87.569173","Tuscaloosa, AL, USA"
Kappa Sigma,B,Party Room,"33.210291, -87.539434","Kappa Sigma, Tuscaloosa, AL 35401, USA"
Kappa Sigma,2,Hallways except between lounge and bedroom hallways,"33.210291, -87.539434","Kappa Sigma, Tuscaloosa, AL 35401, USA"
Lambda Chi Alpha,2,"Bedroom hallways, lounge","33.209561, -87.539378","Lambda Chi Alpha, 601 Jefferson Avenue, Tuscaloosa, AL 35401, USA"
Phi Gamma Delta,B,"Storage, back stairwell","33.211047, -87.551042","Phi Gamma Delta, Tuscaloosa, AL 35401, USA"
Phi Gamma Delta,1,Back stairwell,"33.211047, -87.551042","Phi Gamma Delta, Tuscaloosa, AL 35401, USA"
Phi Gamma Delta,2,"Back stairwell, bathroom, bedroom hallways","33.211047, -87.551042","Phi Gamma Delta, Tuscaloosa, AL 35401, USA"
